Date_UTC,SML,SMU,GSM_Bx,GSM_By,GSM_Bz
2023-12-01 00:05:00,-18,13,999999,999999,999999
2023-12-01 00:06:00,-17,13,999999,999999,999999
2023-12-01 00:07:00,-17,13,999999,999999,999999
2023-12-01 00:08:00,-17,13,999999,999999,999999
2023-12-01 00:09:00,-16,13,999999,999999,999999
2023-12-01 00:10:00,-16,13,999999,999999,999999
2023-12-01 00:11:00,-16,13,999999,999999,999999
2023-12-01 00:12:00,-17,13,999999,999999,999999
2023-12-01 00:13:00,-17,13,999999,999999,999999
2023-12-01 00:14:00,-17,14,999999,999999,999999
2023-12-01 00:15:00,-17,14,999999,999999,999999
2023-12-01 00:16:00,-17,14,999999,999999,999999
2023-12-01 00:17:00,-17,13,999999,999999,999999
2023-12-01 00:18:00,-17,16,999999,999999,999999
2023-12-01 00:19:00,-19,19,999999,999999,999999
2023-12-01 00:20:00,-129,14,999999,999999,999999
2023-12-01 00:21:00,-83,34,999999,999999,999999
2023-12-01 00:22:00,-74,50,999999,999999,999999
2023-12-01 00:23:00,-96,49,999999,999999,999999
2023-12-01 00:24:00,-99,142,999999,999999,999999
2023-12-01 00:25:00,-66,215,999999,999999,999999
2023-12-01 00:26:00,-47,173,999999,999999,999999
2023-12-01 00:27:00,-22,132,999999,999999,999999
2023-12-01 00:28:00,-35,124,999999,999999,999999
2023-12-01 00:29:00,-44,131,999999,999999,999999
